ind	loc	latitude	longitude	pop	Bio01	Bio02	Bio03	Bio04	Bio05	Bio06	Bio07	Bio08	Bio09	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
PA0920_1	P0087	49.9842	13.4172	CSA	7.237499917546908	7.858333180348079	28.472222258215368	717.1316723537774	20.299999237060547	-7.300000190734863	27.59999942779541	16.14999993642171	2.599999944368998	16.14999993642171	-1.3833333651224773	707	95	41	29.103730777705536	256	133	256	142
PA0944_1	P0092	51.5744	5.4674	BNE	9.90833344310522	8.216666892170906	35.724637550645156	555.6602753760002	20.700000762939453	-2.299999952316284	23.000000715255737	6.866666773955028	5.866666704416275	16.850000222524006	3.3166666428248086	762	73	44	13.279469021420367	211	159	194	191
PA1034_1	P0134	51.2548	1.0203	ENG	10.095833282917738	7.208333211640517	36.77721170063481	475.60227228963834	19.799999237060547	0.20000000298023224	19.599999234080315	7.733333388964335	6.316666774451733	16.133333047231037	4.733333453536034	648	71	39	20.961128203587773	207	131	144	167
PA1094_1	P0188	50.8996	4.1216	BNE	10.449999888737997	7.516666650772095	33.40740680576843	566.179378395726	21.100000381469727	-1.399999976158142	22.50000035762787	7.316666483879089	6.366666575272878	17.49999984105428	3.7166666189829507	785	77	51	12.539064413492401	222	167	201	190
PA1105_1	P0190	50.7892	5.3784	BNE	10.066666680077711	7.66666675110658	33.33333439153176	588.4236724718925	20.899999618530273	-2.0999999046325684	22.999999523162842	17.399999777475994	5.883333404858907	17.399999777475994	3.033333331346512	809	80	53	13.020514308558509	235	172	235	186
PA1109_1	P0190	50.7892	5.3784	BNE	10.066666680077711	7.66666675110658	33.33333439153176	588.4236724718925	20.899999618530273	-2.0999999046325684	22.999999523162842	17.399999777475994	5.883333404858907	17.399999777475994	3.033333331346512	809	80	53	13.020514308558509	235	172	235	186
PA1123_1	P0194	52.9923	-6.0754	IRE	10.01666667064031	6.266666690508525	37.979797026707516	383.99416400437536	18.600000381469727	2.0999999046325684	16.500000476837158	8.150000095367432	13.349999904632568	14.916666825612387	5.699999928474426	816	86	54	18.21710882605295	250	164	196	229
PA1124_1	P0194	52.9923	-6.0754	IRE	10.01666667064031	6.266666690508525	37.979797026707516	383.99416400437536	18.600000381469727	2.0999999046325684	16.500000476837158	8.150000095367432	13.349999904632568	14.916666825612387	5.699999928474426	816	86	54	18.21710882605295	250	164	196	229
PA1192_1	P0227	55.1657	-1.9606	ENG	8.137499994287888	7.39166667809089	39.52763095768397	422.26728183364264	17.299999237060547	-1.399999976158142	18.69999921321869	4.1166666348775225	9.366666793823242	13.583333333333334	3.3833333253860474	856	86	58	14.515630290472611	252	178	200	230
PA1193_1	P0227	55.1657	-1.9606	ENG	8.137499994287888	7.39166667809089	39.52763095768397	422.26728183364264	17.299999237060547	-1.399999976158142	18.69999921321869	4.1166666348775225	9.366666793823242	13.583333333333334	3.3833333253860474	856	86	58	14.515630290472611	252	178	200	230
PA1199_1	P0222	54.6623	-2.7566	ENG	8.375000032285849	7.633333380023639	39.75694310782414	432.22731579729594	17.700000762939453	-1.5	19.200000762939453	4.166666736205419	9.833333293596903	13.916666666666666	3.36666668454806	921	103	51	24.67385010237891	306	162	192	274
PA1207_1	P0228	55.4767	-2.5544	ENG	8.14166667095075	8.000000039115548	41.450777507154505	428.11867966491064	17.5	-1.7999999523162842	19.299999952316284	5.983333334326744	9.550000111262003	13.56666668256124	3.2166666835546494	811	82	51	15.323512015294074	237	165	199	210
PA1233_1	P0093	51.2502	4.8112	BNE	10.31250005463759	7.791666716337204	34.024744990250504	570.371190476834	21.100000381469727	-1.7999999523162842	22.90000033378601	7.100000023841858	6.200000027815501	17.416666666666668	3.5166667103767395	796	76	49	13.557489047157578	223	165	209	194
PA1234_1	P0093	51.2502	4.8112	BNE	10.31250005463759	7.791666716337204	34.024744990250504	570.371190476834	21.100000381469727	-1.7999999523162842	22.90000033378601	7.100000023841858	6.200000027815501	17.416666666666668	3.5166667103767395	796	76	49	13.557489047157578	223	165	209	194
